sample_id,sample_name,seed,offset_std,noise_std,m,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,0.0,512,512,0.001,0.01,10.0,1287.5618896484375,1185.693359375,456.215576171875,0.24609375,0.89453125,0.89453125,0.02840398997068405,0.6225051879882812,0.9208826145815389,0.3543251628055273,0.3847669151258082
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,0.001,512,512,0.001,0.01,10.0,1388.8955078125,1304.4423828125,390.5491943359375,0.25390625,0.8671875,0.8671875,0.028443647548556328,0.6125491261482239,0.9391940397784042,0.2811940798563382,0.29939934448762456
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,0.005,512,512,0.001,0.01,10.0,1388.89599609375,1304.443359375,390.5488586425781,0.25390625,0.8671875,0.8671875,0.028443647548556328,0.6128416061401367,0.9391944127160912,0.28119373930156843,0.29939886299831553
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,0.01,512,512,0.001,0.01,10.0,1388.896484375,1304.44482421875,390.5487060546875,0.25390625,0.8671875,0.8671875,0.028443647548556328,0.6121235489845276,0.9391951372140933,0.2811935305822546,0.2993984098090101
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,0.05,512,512,0.001,0.01,10.0,1388.903076171875,1304.45849609375,390.548828125,0.25390625,0.8671875,0.8671875,0.028443647548556328,0.605000913143158,0.9392005234009035,0.2811922839147561,0.2993953654290368
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,0.0,512,512,0.001,0.01,10.0,9069.203125,8819.859375,4345.4189453125,0.2109375,0.873046875,0.873046875,0.02069806307554245,0.5886625051498413,0.972506542574544,0.47914010585274,0.4926857402771799
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,0.001,512,512,0.001,0.01,10.0,10201.8603515625,9505.689453125,3921.732421875,0.2265625,0.86328125,0.86328125,0.020677924156188965,0.5915665030479431,0.9317603971778662,0.384413458597711,0.41256685706113916
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,0.005,512,512,0.001,0.01,10.0,10201.84765625,9505.6767578125,3921.7255859375,0.2265625,0.86328125,0.86328125,0.020677924156188965,0.5916364192962646,0.9317603122596129,0.3844132668982679,0.4125666889224192
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,0.01,512,512,0.001,0.01,10.0,10201.828125,9505.662109375,3921.717041015625,0.2265625,0.86328125,0.86328125,0.020677924156188965,0.5916226506233215,0.9317606602370593,0.38441316526449765,0.41256642576720826
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,0.05,512,512,0.001,0.01,10.0,10201.685546875,9505.548828125,3921.64990234375,0.2265625,0.86328125,0.86328125,0.020677924156188965,0.5893703699111938,0.9317625782963638,0.38441195666387085,0.4125642793754717
