sample_id,sample_name,seed,offset_std,m,noise_std,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.0,512,0.0,512,0.001,0.01,10.0,6.025856018066406,191.67510986328125,0.000640597369056195,0.751953125,1.0,1.0,0.024428270757198334,0.6570137143135071,31.80877692540462,0.00010630811077058422,3.3420999185190123e-06
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.001,512,0.0,512,0.001,0.01,10.0,2610.83935546875,2663.74462890625,787.9959106445312,0.33984375,0.91796875,0.91796875,0.02438974380493164,0.6154705882072449,1.020263703060352,0.30181708001067514,0.29582261831461193
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,512,0.0,512,0.001,0.01,10.0,8515.404296875,8214.12890625,3682.256591796875,0.234375,0.87890625,0.87890625,0.02430954948067665,0.5952402353286743,0.9646199545997408,0.43242299054998445,0.4482832731046021
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.005,512,0.0,512,0.001,0.01,10.0,36454.08203125,36091.2421875,23971.11328125,0.123046875,0.77734375,0.77734375,0.023981571197509766,0.5603036880493164,0.9900466607981252,0.6575700702242601,0.6641808878928601
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.01,512,0.0,512,0.001,0.01,10.0,85001.671875,85563.21875,64924.8203125,0.072265625,0.671875,0.671875,0.023445285856723785,0.5281667113304138,1.006606303883361,0.7638063920433918,0.7587935711277809
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.0,512,0.0,512,0.001,0.01,10.0,1.7764633893966675,627.755859375,0.0019699125550687313,0.759765625,1.0,1.0,0.023845145478844643,0.6762993335723877,353.37393560820976,0.0011088956669902238,3.1380233663290627e-06
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.001,512,0.0,512,0.001,0.01,10.0,5946.5498046875,5255.66455078125,944.147216796875,0.3203125,0.92578125,0.92578125,0.023807942867279053,0.6285345554351807,0.8838174611164201,0.158772270948211,0.17964373632950534
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,512,0.0,512,0.001,0.01,10.0,17891.22265625,16615.728515625,5245.9072265625,0.23828125,0.857421875,0.857421875,0.023727765306830406,0.6258371472358704,0.9287083859425657,0.29321122023652924,0.31571936323041055
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.005,512,0.0,512,0.001,0.01,10.0,68642.8125,65370.1328125,37201.1875,0.12109375,0.748046875,0.748046875,0.023498861119151115,0.593762218952179,0.9523230536700401,0.5419531360257128,0.5690853896029783
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.01,512,0.0,512,0.001,0.01,10.0,170205.546875,165476.015625,123328.421875,0.060546875,0.615234375,0.615234375,0.023125840350985527,0.550446629524231,0.9722128253935614,0.7245852097027904,0.7452948477710847
